unit_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,sd_ratio,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks
53,3.0,0.0016666482,0.1,6.0651803,0.0,0.0,,,-113.29651,,,0.0,0.0,0.0,0.0,,,,,3.9077945e+16,,4.657502,0.25537595,0.0,0.00049407117,0.00133,-0.10880938,0.00018,488638.72,-12315.363,1.0,1.0
54,4.0,0.0022221976,0.13333334,6.4311824,0.0,0.0,,,-125.88501,,,0.0,0.0,0.0,0.0,,,,,2062702900000000.0,,5.309772,0.2142808,0.0625,0.006429278,0.0012,-0.085365854,0.00019,92247.79,-11794.667,1.0,1.0
55,38.0,0.021110877,0.56666666,3.4098167,3324.1367,8.0,,,-56.648254,,,0.7105263,0.0,0.0,0.2,,,,,5840757700000000.0,,3.4744737,0.023993215,0.5986842,0.021568628,0.00035,0.06110641,0.00102,,,1.0,1.0
56,1387.0,0.770547,1.0,2.8075147,0.0,0.0,0.25,0.018886387,-37.765503,0.505165,0.426872,0.019466475,0.0,0.0,1.4,,,,,1727.1259,6.894802e-05,6.7486687,0.12915409,0.961,0.119205296,0.00167,-0.060540218,0.00017,39503.438,-23588.357,1.0,1.0
57,81.0,0.0449995,0.93333334,4.9508,0.0,0.0,,,-69.236755,,,0.012345679,0.0,0.0,0.2,,,,,328.95447,1.5186862e-07,3.8037834,0.029952774,0.44753087,0.05443828,0.0016,-0.16309759,0.00019,150863.95,-12630.76,1.0,1.0
58,127.0,0.07055477,0.96666664,4.532005,0.0,0.0,,,-62.942505,,,0.031496063,0.0,0.0,0.4,,,,,632.97534,0.00810042,3.8429976,0.029509336,0.6043307,0.05925926,0.0019,-0.083465554,0.00017,96604.305,-42382.426,1.0,1.0
61,81.0,0.0449995,0.8333333,19.974478,0.0,0.0,,,-295.82977,,,0.012345679,0.0,0.0,0.2,,,,,3372.593,0.0,30.95119,0.59381217,1.0,0.00083402835,0.00191,-0.01816772,0.00022,82472.47,-7591.2446,0.0,1.0
62,726.0,0.40332887,1.0,2.9557655,0.0,0.0,,0.013314588,-50.354004,0.78352916,0.56858283,0.012396694,0.0,0.0,1.4,,,,,715.25073,0.0,11.897019,0.1829284,1.0,0.0,0.00033,-0.007941632,0.00017,169324.06,1012.3572,1.0,1.0
63,173.0,0.096110046,1.0,11.961062,0.0,0.0,,,-207.71027,,,0.040462427,0.0,0.0,0.4,,,,,239.82016,0.0064087864,7.767344,0.2840703,0.89017344,0.008902078,0.00211,0.0011065695,0.00022,,,1.0,1.0
65,1025.0,0.5694381,1.0,11.93138,1.713285,3.0,,0.010374121,-207.71027,0.09171126,0.07110581,0.9892683,0.0,0.0,1.0,,,,,63.508514,0.36650458,1.7362151,0.04299775,0.5215,0.20894699,0.00199,0.002464066,0.00021,,,1.0,1.0
66,68.0,0.037777357,0.76666665,3.8864322,0.0,0.0,,,-78.67813,,,0.04411765,0.0,0.0,0.2,,,,,102.140656,0.011409811,3.3357482,0.0145661365,0.27941176,0.030872796,9e-05,0.10719009,0.00013,,,1.0,1.0
68,42.0,0.023333075,0.7,1.8289737,0.0,0.0,,,12.588501,,,0.30952382,0.0,0.0,0.2,,,,,1092723600000000.0,,1.939701,0.13403393,0.6547619,0.0052312776,0.00172,-0.1930692,0.00015,19183.598,-36303.1,1.0,2.0
70,1255.0,0.6972145,1.0,3.0339806,0.0,0.0,0.155,0.004841443,-56.648254,0.7027977,0.2816571,0.053386454,0.0,0.0,1.0,,,,,83.76499,0.19300637,3.9558833,0.09090026,0.825,0.05232558,0.00031,-0.07567525,0.00021,280927.16,-60523.97,1.0,1.0
73,77.0,0.042777304,0.9,3.822375,0.0,0.0,,,-75.531006,,,0.025974026,0.0,0.0,0.2,,,,,108.67055,0.0055606477,3.783256,0.010451854,0.30844155,0.028089888,1e-04,0.09118406,0.00014,,,1.0,1.0
75,156.0,0.086665705,1.0,4.8518376,0.0,0.0,,,-75.531006,,,0.012820513,0.0,0.0,0.2,,,,,312.94055,0.013741528,4.102239,0.033921435,0.4246795,0.02535497,0.00181,-0.0077423993,0.0002,30443.523,-26.951305,1.0,2.0
76,148.0,0.08222131,1.0,5.1732235,0.0,0.0,,,-81.82526,,,0.013513514,0.0,0.0,0.2,,,,,212.3088,0.010079174,3.7801473,0.03168504,0.4510135,0.028535353,0.00171,-0.016779238,0.00018,39222.254,-2430.1838,1.0,2.0
77,38.0,0.021110877,0.7,9.128431,0.0,0.0,,,-119.59076,,,0.05263158,0.0,0.0,0.2,,,,,1.4233415e+16,,3.6583402,0.033259396,0.25,0.016866028,0.00161,0.007832057,0.00052,,,1.0,1.0
78,2817.0,1.5649827,1.0,1.9502404,0.0,0.0,0.03,0.00075281307,-25.177002,0.66110766,0.18308073,0.018104367,0.0,0.0,0.8,,,,,167.49043,2.5646044e-08,9.840156,0.16872409,0.969,0.0026499303,0.00148,0.0076490287,0.00056,,,1.0,1.0
79,47.0,0.02611082,0.8,23.033106,0.0,0.0,,,-383.94928,,,1.0,0.0,0.0,0.2,,,,,45.011154,0.53516674,3.6681201,0.016202841,0.19148937,0.0077389795,0.00033,-0.09496431,0.00015,1599529.2,-31802.375,1.0,1.0
80,2668.0,1.4822057,1.0,4.961415,0.0,0.0,0.05,0.0014837537,-81.82526,0.20921172,0.07219277,0.014992503,0.0,0.0,1.4,,,,,139.35068,0.0018408404,8.7168455,0.1607084,0.766,0.00011545567,0.00118,-0.02492461,0.0004,79924.24,-80.76187,0.0,1.0
81,90.0,0.049999446,0.8333333,1.4120897,0.0,0.0,,,-18.882751,,,0.0,0.0,0.0,0.2,,,,,356.79495,4.440892e-17,6.4107327,0.19852956,0.4861111,0.0,0.00164,0.021420557,0.0011,,,1.0,2.0
82,198.0,0.10999878,1.0,4.12472,0.0,0.0,,,-37.765503,,,0.025252525,0.0,0.0,0.4,,,,,286.34396,2.0403256e-06,7.5726504,0.1548962,0.8421717,0.0085227275,0.00211,0.0018516756,0.00021,,,1.0,1.0
83,164.0,0.091110095,1.0,5.074874,0.0,0.0,,,-69.236755,,,0.024390243,0.0,0.0,0.4,,,,,61.34265,0.34849358,1.5153407,0.023347097,0.37957317,0.21587926,0.00053,-0.07451874,0.00014,286434.03,-2577.3652,1.0,1.0
